id,Zip,Price,Price of square meter,Building Cond. values,Number of facades,Number of rooms,Living area,Furnished,Kitchen values,Surface of the land,Primary energy consumption,Energy_classes,Terrace,Terrace surface,Garden,Garden surface,Open fire,Swimming pool
10578166,1150,329000,3463.16,3.0,2.0,2.0,95.0,0.0,1.0,,219.0,5,0,0.0,0,0.0,0.0,0.0
10578260,1000,340000,4857.14,3.0,2.0,2.0,70.0,1.0,3.0,,647.0,1,1,20.0,0,0.0,0.0,0.0
10578371,1000,985000,4457.01,2.0,2.0,4.0,221.0,0.0,3.0,,121.0,6,0,0.0,0,0.0,0.0,0.0
10584172,1140,325000,4276.32,4.0,,1.0,76.0,0.0,,,44.0,7,1,7.0,0,0.0,0.0,0.0
10595087,1000,890000,4120.37,4.0,2.0,3.0,216.0,0.0,,,228.0,5,0,0.0,0,0.0,1.0,0.0
10588434,1180,425000,5902.78,4.0,,1.0,72.0,0.0,3.0,,55.0,7,1,5.0,0,0.0,0.0,0.0
10588176,1000,499000,6160.49,4.0,,1.0,81.0,0.0,2.0,,45.0,7,1,9.0,0,0.0,0.0,0.0
10588444,1180,635000,5619.47,4.0,,2.0,113.0,0.0,3.0,,55.0,7,1,8.0,0,0.0,0.0,0.0
10585301,1000,190000,5588.24,3.0,2.0,,34.0,1.0,1.0,,97.0,7,1,3.0,0,0.0,0.0,0.0
10585245,1020,235000,2611.11,3.0,2.0,2.0,90.0,0.0,0.0,,185.0,6,1,7.0,0,0.0,0.0,0.0
10586999,1040,260000,3561.64,1.0,2.0,1.0,73.0,0.0,3.0,,850.0,1,1,8.0,0,0.0,0.0,0.0
10585210,1070,295000,2322.83,4.0,3.0,3.0,127.0,0.0,3.0,,564.0,2,1,,0,0.0,0.0,0.0
10512911,1140,329000,3391.75,3.0,,2.0,97.0,0.0,1.0,,102.0,6,1,5.0,0,0.0,0.0,0.0
10587331,1180,365000,3842.11,3.0,3.0,2.0,95.0,0.0,1.0,,126.0,6,0,0.0,0,0.0,0.0,0.0
10587330,1180,455000,4333.33,4.0,3.0,3.0,105.0,0.0,3.0,,132.0,6,1,16.0,0,0.0,0.0,0.0
10585227,1200,780000,2921.35,1.0,2.0,5.0,267.0,0.0,2.0,,167.0,6,1,22.0,0,0.0,0.0,0.0
10587336,1000,1050000,4565.22,4.0,,3.0,230.0,0.0,3.0,,194.0,6,0,0.0,0,0.0,0.0,0.0
10591139,1000,299000,3646.34,3.0,2.0,2.0,82.0,0.0,1.0,,149.0,6,0,0.0,0,0.0,0.0,0.0
