,id,Zip,Price,Price of square meter,Living area,Number of rooms,Furnished,Garden surface,Terrace surface,Open fire,Building Cond. values,Kitchen values,Primary energy consumption,Energy efficiency
182,10594285,8300,2195000,25229.89,87.0,3.0,0.0,0.0,0.0,0.0,4.0,3.0,154.0,6.0
183,10578164,1200,279000,3100.0,90.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,259.0,5.0
184,10578060,1180,420000,3783.78,111.0,2.0,0.0,0.0,5.0,0.0,4.0,3.0,207.0,5.0
185,10578733,1200,635000,4471.83,142.0,3.0,0.0,0.0,20.0,0.0,4.0,3.0,76.0,7.0
186,10511319,4430,99000,1767.86,56.0,1.0,0.0,0.0,4.0,0.0,3.0,2.0,608.0,1.0
187,10309324,4820,99000,1053.19,94.0,2.0,0.0,0.0,32.0,0.0,3.0,1.0,387.0,4.0
188,10389243,4020,105000,2837.84,37.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,287.0,5.0
189,10556350,2000,115000,7187.5,16.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,92.0,7.0
190,10541676,4020,129000,2186.44,59.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,153.0,6.0
191,10340154,1030,137500,4910.71,28.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,527.0,2.0
192,10215361,1030,137500,4583.33,30.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,527.0,2.0
193,10254720,4690,138000,1916.67,72.0,2.0,0.0,0.0,2.0,0.0,3.0,2.0,439.0,3.0
194,10502591,2060,139000,4633.33,30.0,1.0,0.0,0.0,6.0,0.0,3.0,3.0,145.0,6.0
195,10267295,4000,139000,2316.67,60.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,226.0,5.0
196,10514879,2060,142500,4750.0,30.0,1.0,0.0,0.0,6.0,0.0,3.0,1.0,146.0,6.0
197,10498892,1070,144720,2297.14,63.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,736.0,1.0
198,10412455,1200,145000,4142.86,35.0,1.0,0.0,0.0,7.0,0.0,4.0,2.0,202.0,5.0
199,10149129,4000,149000,1405.66,106.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,180.0,6.0
200,10443210,4500,149500,1993.33,75.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,107.0,6.0
201,10448955,1030,155000,3690.48,42.0,1.0,0.0,0.0,5.0,0.0,3.0,0.0,325.0,4.0
202,10421633,4000,155000,1581.63,98.0,2.0,0.0,0.0,5.0,0.0,3.0,2.0,150.0,6.0
203,10358458,4610,155000,2719.3,57.0,1.0,0.0,0.0,3.0,0.0,3.0,1.0,138.0,6.0
204,10549181,2610,159000,1962.96,81.0,2.0,0.0,0.0,3.0,0.0,3.0,1.0,184.0,6.0
205,10520742,2850,159000,1939.02,82.0,2.0,0.0,0.0,3.0,0.0,3.0,1.0,180.0,6.0
206,10560083,9600,159000,1892.86,84.0,2.0,0.0,0.0,12.0,0.0,3.0,1.0,174.0,6.0
207,10495511,6880,163000,2037.5,80.0,2.0,0.0,0.0,23.0,0.0,3.0,2.0,219.0,5.0
208,10513206,2660,165000,1833.33,90.0,2.0,0.0,0.0,5.0,0.0,2.0,2.0,223.0,5.0
209,10516713,1500,169000,2166.67,78.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,347.0,4.0
210,10516712,1501,169000,2166.67,78.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,347.0,4.0
211,10551033,4000,169000,2283.78,74.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,306.0,4.0
212,10477304,4680,169000,1420.17,119.0,4.0,0.0,649.0,0.0,0.0,1.0,0.0,180.0,6.0
213,10506812,9600,169000,2283.78,74.0,2.0,0.0,0.0,4.0,0.0,3.0,1.0,374.0,4.0
214,10511079,1060,170000,3469.39,49.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,560.0,2.0
215,10560489,2870,172000,2324.32,74.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,187.0,6.0
216,10521364,2100,174000,2289.47,76.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,357.0,4.0
217,10521356,2140,174000,2289.47,76.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,357.0,4.0
218,10223411,1400,175000,2272.73,77.0,2.0,0.0,0.0,3.0,0.0,3.0,1.0,190.0,6.0
219,10565758,1030,179000,2557.14,70.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,568.0,2.0
