,id,Price,Type of property,Subtype of property,Locality,Surroundings type,Energy class,Heating type,Province,Zip,Living area,Number of rooms,Bathrooms,Construction year,Number of facades,Swimming pool,Furnished,Open fire,Terrace,Terrace surface,Garden,Garden surface,Primary energy consumption,Kitchen values,Building Cond. values,Parking,Urban_value,Normal_apt,Big_apt
4191,10575416,349000.0,apartment,penthouse,roeselare,,D,Gas,West Flanders,8800.0,105.0,2.0,1.0,1976.0,2.4,0.0,1.0,0.0,1.0,46.0,1.0,0.0,305.0,1.0,4.0,0.0,1,0,1
4192,10572203,449000.0,apartment,apartment,zonhoven,,B,Gas,Limburg,3520.0,140.0,2.0,1.0,2014.0,3.0,0.0,0.0,0.0,1.0,65.0,0.0,0.0,107.0,3.0,3.0,2.0,1,1,0
4193,10572412,545000.0,apartment,apartment,kortrijk,,Not specified,Electric,West Flanders,8500.0,300.0,5.0,3.0,1968.0,2.0,0.0,0.0,0.0,1.0,9.2,0.0,0.0,19632000732561.8,2.0,4.0,1.0,1,1,0
4194,10572570,550000.0,apartment,apartment,antwerp,,C,Gas,Antwerp,2018.0,135.0,3.0,2.0,1968.0,2.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,209.0,1.8,4.0,2.0,0,1,0
4195,10574219,575000.0,apartment,apartment,antwerpen 1,"Living area (residential, urban or rural)",B,Gas,Antwerp,2018.0,112.0,3.0,1.0,1954.0,2.0,0.0,0.0,0.0,1.0,8.2,0.0,0.0,158.0,1.0,3.4,0.0,0,1,0
4196,10578758,180000.0,apartment,service flat,puurs sint-amands,"Living area (residential, urban or rural)",Not specified,Gas,Antwerp,2870.0,54.0,1.0,1.0,2020.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,19632000732588.6,3.0,4.0,1.0,0,1,0
4197,10590994,210000.0,apartment,apartment,forest,,E,,Brussels Capital Region,1190.0,55.0,1.0,1.0,1976.0,2.4,0.0,0.0,0.0,1.0,11.0,0.0,0.0,246.0,3.0,3.0,0.0,0,1,0
4198,10591580,285000.0,apartment,service flat,de haan,,A,,West Flanders,8420.0,55.0,1.0,1.0,2015.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9235.0,1.0,3.0,1.0,0,1,0
4199,10578418,1690000.0,apartment,ground floor,uccle,,B,Gas,Brussels Capital Region,1180.0,201.0,3.0,3.0,2022.0,4.0,0.0,0.0,0.0,1.0,40.0,1.0,376.0,5667.0,1.0,4.0,4.0,1,1,0
4200,10580494,249000.0,apartment,apartment,erpe-mere,,Not specified,Gas,East Flanders,9420.0,84.0,1.0,1.0,2021.0,2.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,19632000732568.2,1.0,3.8,0.0,0,1,0
4201,10594641,279950.0,apartment,apartment,puurs,"Living area (residential, urban or rural)",Not specified,Gas,Antwerp,2870.0,92.0,2.0,1.0,2007.0,3.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,19632000732587.6,1.0,4.0,1.0,0,1,0
4202,10467653,169500.0,apartment,apartment,rebecq-rognon,"Living area (residential, urban or rural)",A,Gas,Walloon Brabant,1430.0,60.0,1.0,1.0,2023.0,3.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,50.0,1.0,4.0,40.0,0,1,0
4203,10312924,178500.0,apartment,flat studio,schaerbeek,,Not specified,,Brussels Capital Region,1030.0,40.0,1.0,1.0,2021.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,19632000732677.2,3.0,4.0,1.0,1,1,0
4204,10396365,235000.0,apartment,apartment,evere,,A,,Brussels Capital Region,1140.0,76.0,1.0,1.2,1932.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,3.0,3.0,0.0,1,1,0
4205,10312918,245000.0,apartment,apartment,schaerbeek,,Not specified,,Brussels Capital Region,1030.0,75.0,1.0,1.0,2021.0,2.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,19632000732677.2,3.0,4.0,1.0,1,1,0
4206,10552089,245000.0,apartment,ground floor,kwaadmechelen,,Not specified,,Limburg,3945.0,90.0,2.0,1.0,2022.0,2.0,0.0,0.0,0.0,1.0,14.0,1.0,75.0,19632000732599.6,1.0,3.4,0.0,0,1,0
4207,10552088,245000.0,apartment,apartment,kwaadmechelen,,Not specified,,Limburg,3945.0,90.0,2.0,1.0,2022.0,2.0,0.0,0.0,0.0,1.0,14.0,1.0,75.0,19632000732599.6,1.0,3.4,0.0,0,1,0
4208,10312920,248000.0,apartment,apartment,schaerbeek,,Not specified,,Brussels Capital Region,1030.0,73.0,1.0,1.0,2021.0,2.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,19632000732677.2,3.0,4.0,1.0,1,1,0
4209,10312919,248000.0,apartment,apartment,schaerbeek,,Not specified,,Brussels Capital Region,1030.0,73.0,1.0,1.0,2021.0,2.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,19632000732677.2,3.0,4.0,1.0,1,1,0
4210,10396366,253000.0,apartment,apartment,evere,,A,,Brussels Capital Region,1140.0,76.0,1.0,1.2,1932.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,3.0,3.0,1.0,1,1,0
4211,10391891,256565.0,apartment,apartment,Écaussinnes,,Not specified,Gas,Hainaut,7190.0,106.0,2.0,1.0,2024.0,2.2,0.0,0.0,0.0,1.0,15.0,1.0,85.0,19632000732512.2,3.0,4.0,0.0,0,1,0
4212,9765902,259000.0,apartment,apartment,willebroek,,Not specified,,Antwerp,2830.0,90.0,2.0,1.0,2022.0,4.0,0.0,0.0,0.0,1.0,21.0,1.0,29.0,19632000732477.6,1.0,4.0,0.0,0,1,0
4213,10312922,265000.0,apartment,apartment,schaerbeek,,Not specified,,Brussels Capital Region,1030.0,73.0,1.0,1.0,2021.0,2.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,19632000732677.2,3.0,4.0,1.0,1,1,0
4214,10561703,265000.0,apartment,ground floor,evergem sleidinge,Isolated,Not specified,,East Flanders,9940.0,72.0,1.0,1.0,2025.0,2.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,19632000732529.4,3.0,4.0,1.0,1,1,0
4215,10078646,275000.0,apartment,ground floor,balen,Shop street,Not specified,,Antwerp,2490.0,106.0,2.0,1.0,2022.0,3.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,19632000732655.0,1.0,3.6,0.0,0,1,0
4216,10487610,275000.0,apartment,apartment,willebroek,,Not specified,,Antwerp,2830.0,97.0,2.0,1.0,2022.0,4.0,0.0,0.0,0.0,1.0,22.0,1.0,30.0,19632000732505.4,1.0,3.4,0.0,0,1,0
4217,10310208,275000.0,apartment,apartment,willebroek,,Not specified,,Antwerp,2830.0,97.0,2.0,1.0,2022.0,4.0,0.0,0.0,0.0,1.0,22.0,1.0,30.0,19632000741325.0,1.0,3.0,0.0,0,1,0
4218,10561700,295000.0,apartment,ground floor,evergem sleidinge,Isolated,Not specified,,East Flanders,9940.0,80.0,1.0,1.0,2025.0,2.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,19632000732529.4,3.0,4.0,1.0,1,1,0
4219,10561699,295000.0,apartment,ground floor,evergem sleidinge,Isolated,Not specified,,East Flanders,9940.0,80.0,1.0,1.0,2025.0,2.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,19632000732529.4,3.0,4.0,1.0,1,1,0
4220,10288904,310000.0,apartment,apartment,opwijk,,A,,Flemish Brabant,1745.0,76.0,1.0,1.0,2023.0,2.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,20.0,1.0,2.4,0.0,0,1,0
